Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Weather Type,Weather_Label
49.0,75,11.5,82.0,Partly Cloudy,1029.09,10,Summer,7.0,Coastal,Sunny,3
-5.0,73,12.0,63.0,Partly Cloudy,983.83,1,Winter,4.5,Inland,Snowy,2
31.0,62,5.5,99.0,Overcast,1019.92,0,Summer,4.5,Mountain,Rainy,1
2.0,91,6.5,92.0,Overcast,999.46,0,Winter,2.5,Inland,Snowy,2
32.0,35,2.5,63.0,Partly Cloudy,1049.7312500000003,2,Winter,0.0,Coastal,Sunny,3
-7.0,78,10.0,96.0,Overcast,999.99,7,Winter,1.0,Inland,Snowy,2
27.0,43,1.0,8.0,Clear,1022.48,9,Summer,9.0,Mountain,Sunny,3
12.0,56,9.5,19.0,Partly Cloudy,1014.4,4,Winter,6.5,Mountain,Cloudy,0
-7.0,93,9.0,60.0,Overcast,995.63,1,Winter,4.0,Inland,Snowy,2
15.0,81,26.25,71.0,Partly Cloudy,1008.0,4,Winter,6.0,Inland,Cloudy,0
30.0,64,6.0,67.0,Partly Cloudy,1009.12,3,Summer,4.0,Coastal,Rainy,1
19.0,93,14.5,57.0,Overcast,1018.44,0,Winter,4.0,Inland,Rainy,1
14.0,44,9.0,11.0,Partly Cloudy,961.8412499999998,14,Winter,3.5,Coastal,Rainy,1
32.0,38,11.0,15.0,Partly Cloudy,961.8412499999998,9,Autumn,12.5,Inland,Snowy,2
17.0,88,18.0,83.0,Partly Cloudy,1026.94,0,Spring,5.5,Mountain,Sunny,3
23.0,88,11.5,65.0,Overcast,1000.74,1,Winter,5.0,Mountain,Rainy,1
28.0,35,9.5,0.0,Partly Cloudy,1023.62,9,Winter,10.0,Coastal,Sunny,3
-4.0,87,5.0,54.0,Overcast,981.02,1,Winter,4.5,Mountain,Snowy,2
31.0,72,17.0,96.0,Partly Cloudy,1013.85,13,Winter,3.5,Inland,Cloudy,0
40.0,66,8.0,5.0,Clear,1019.82,5,Autumn,5.5,Mountain,Sunny,3
20.0,24,3.0,6.0,Clear,1013.68,9,Winter,6.5,Mountain,Sunny,3
-7.0,61,2.5,99.0,Overcast,994.34,1,Winter,2.5,Inland,Snowy,2
-3.0,82,0.0,65.0,Overcast,991.66,0,Winter,1.5,Inland,Snowy,2
22.0,65,6.0,14.0,Partly Cloudy,1010.17,8,Autumn,7.0,Coastal,Sunny,3
33.0,79,4.5,43.0,Overcast,1007.94,1,Spring,7.0,Coastal,Cloudy,0
29.0,47,8.5,2.0,Clear,1027.33,11,Summer,5.5,Inland,Sunny,3
13.0,80,15.5,59.0,Overcast,1012.06,0,Autumn,3.5,Mountain,Rainy,1
27.0,39,5.0,16.0,Clear,1021.61,5,Autumn,5.0,Mountain,Sunny,3
38.0,75,0.5,79.0,Overcast,1049.7312500000003,0,Summer,10.0,Inland,Rainy,1
20.0,48,9.5,6.0,Clear,1015.16,6,Autumn,8.5,Mountain,Sunny,3
19.0,82,7.0,85.0,Partly Cloudy,1008.5,1,Summer,3.5,Coastal,Rainy,1
18.0,70,5.0,94.0,Overcast,1012.87,2,Spring,3.5,Mountain,Rainy,1
18.0,60,12.5,42.0,Overcast,961.8412499999998,2,Summer,14.25,Mountain,Rainy,1
2.0,80,13.5,79.0,Overcast,995.74,1,Winter,1.5,Inland,Snowy,2
1.0,81,9.5,63.0,Overcast,983.99,1,Winter,3.5,Mountain,Snowy,2
22.0,69,1.0,19.0,Partly Cloudy,1011.5,2,Autumn,6.0,Mountain,Cloudy,0
-10.0,70,2.5,56.0,Overcast,989.29,1,Winter,4.0,Mountain,Snowy,2
32.0,61,5.5,53.0,Overcast,995.09,2,Summer,4.0,Inland,Rainy,1
41.0,29,8.0,17.0,Clear,1011.53,11,Spring,10.0,Inland,Sunny,3
-1.0,99,2.5,72.0,Overcast,998.51,0,Winter,2.0,Mountain,Snowy,2
31.0,65,1.5,18.0,Overcast,1008.47,2,Summer,9.0,Inland,Cloudy,0
19.0,62,1.0,14.0,Partly Cloudy,1016.5,2,Autumn,5.5,Coastal,Cloudy,0
-3.0,92,26.25,99.0,Partly Cloudy,987.7,1,Winter,4.5,Mountain,Snowy,2
-1.0,83,18.0,73.0,Overcast,983.46,0,Winter,1.5,Inland,Snowy,2
3.0,70,2.0,81.0,Overcast,984.9,1,Winter,2.0,Mountain,Snowy,2
0.0,64,4.5,52.0,Overcast,984.59,1,Winter,1.0,Inland,Snowy,2
26.0,76,9.0,68.0,Overcast,1004.27,3,Spring,3.5,Inland,Rainy,1
22.0,92,19.5,81.0,Overcast,1017.76,0,Winter,4.5,Coastal,Rainy,1
20.0,96,14.0,94.0,Overcast,997.77,0,Summer,4.5,Mountain,Rainy,1
23.0,52,1.0,36.0,Partly Cloudy,1017.92,1,Spring,8.5,Mountain,Cloudy,0
3.0,81,2.5,89.0,Overcast,992.78,1,Winter,2.0,Mountain,Snowy,2
20.0,95,16.0,91.0,Overcast,1016.14,0,Summer,2.5,Mountain,Rainy,1
-2.0,91,2.5,83.0,Overcast,982.21,1,Winter,4.0,Mountain,Snowy,2
29.0,77,0.5,91.0,Cloudy,961.8412499999998,14,Autumn,14.25,Inland,Sunny,3
2.0,77,6.5,75.0,Partly Cloudy,998.0,0,Winter,3.0,Mountain,Snowy,2
16.0,67,6.5,45.0,Partly Cloudy,1008.69,2,Summer,5.5,Coastal,Cloudy,0
46.0,94,4.0,90.0,Clear,1022.88,10,Spring,12.5,Mountain,Sunny,3
-2.0,92,1.0,71.0,Overcast,998.01,1,Winter,1.5,Inland,Snowy,2
20.0,50,6.5,21.0,Partly Cloudy,1013.93,4,Autumn,6.0,Inland,Cloudy,0
0.0,64,10.5,78.0,Overcast,994.62,0,Winter,3.0,Mountain,Snowy,2
22.0,48,6.0,15.0,Clear,1020.0,5,Spring,9.5,Inland,Sunny,3
29.0,50,5.5,13.0,Overcast,1002.04,4,Autumn,8.0,Inland,Cloudy,0
4.0,77,13.0,76.0,Overcast,983.25,1,Winter,2.5,Mountain,Snowy,2
40.0,39,9.5,15.0,Clear,1029.84,8,Autumn,8.0,Coastal,Sunny,3
-3.0,60,8.0,94.0,Overcast,981.56,1,Winter,3.0,Inland,Snowy,2
33.0,25,4.0,3.0,Partly Cloudy,1027.6,11,Spring,6.5,Coastal,Sunny,3
31.0,87,11.0,54.0,Partly Cloudy,995.87,0,Spring,3.5,Mountain,Rainy,1
41.0,72,2.5,26.0,Cloudy,973.08,6,Spring,8.5,Inland,Rainy,1
33.0,77,1.0,22.0,Partly Cloudy,1018.78,4,Winter,8.5,Mountain,Cloudy,0
-5.0,68,0.5,96.0,Overcast,992.19,1,Winter,1.5,Mountain,Snowy,2
-9.0,90,1.5,97.0,Overcast,999.08,1,Winter,4.5,Mountain,Snowy,2
1.0,89,7.5,76.0,Partly Cloudy,982.22,1,Winter,4.5,Inland,Snowy,2
13.0,62,14.0,13.0,Overcast,1003.74,1,Autumn,9.0,Inland,Cloudy,0
13.0,75,9.5,40.0,Overcast,1005.39,2,Autumn,8.0,Inland,Cloudy,0
15.0,100,7.5,75.0,Overcast,1006.45,10,Summer,4.0,Inland,Cloudy,0
31.0,86,13.5,78.0,Overcast,999.25,3,Winter,4.0,Inland,Rainy,1
26.0,60,11.5,50.0,Partly Cloudy,995.67,3,Summer,3.5,Inland,Rainy,1
44.0,25,1.0,6.0,Partly Cloudy,1016.02,10,Summer,5.5,Coastal,Sunny,3
28.0,93,12.5,50.0,Partly Cloudy,997.24,0,Summer,5.0,Coastal,Rainy,1
18.0,88,15.5,88.0,Overcast,997.61,1,Winter,3.5,Inland,Rainy,1
30.0,77,12.0,51.0,Partly Cloudy,1007.88,0,Spring,3.5,Inland,Rainy,1
24.0,50,3.5,10.0,Overcast,1017.18,4,Summer,6.5,Mountain,Cloudy,0
36.0,32,6.0,2.0,Clear,1026.15,7,Spring,7.5,Coastal,Sunny,3
3.0,75,10.5,73.0,Overcast,980.47,1,Winter,3.0,Mountain,Snowy,2
35.0,49,9.0,14.0,Clear,1010.52,10,Autumn,7.0,Coastal,Sunny,3
26.0,43,7.0,18.0,Partly Cloudy,1024.37,5,Summer,6.0,Mountain,Sunny,3
16.0,59,11.5,37.0,Partly Cloudy,1004.12,4,Summer,6.5,Mountain,Cloudy,0
38.0,73,2.5,79.0,Overcast,1034.1,3,Autumn,13.0,Mountain,Rainy,1
34.0,51,9.0,40.0,Overcast,1009.21,4,Spring,6.0,Coastal,Cloudy,0
33.0,88,19.0,98.0,Overcast,998.8,2,Autumn,3.0,Mountain,Rainy,1
17.0,72,20.0,56.0,Overcast,990.4,0,Summer,4.0,Mountain,Rainy,1
30.0,58,1.0,43.0,Overcast,1018.95,2,Winter,6.0,Inland,Cloudy,0
17.0,69,2.0,35.0,Overcast,1009.83,1,Spring,8.5,Coastal,Cloudy,0
-5.0,94,9.0,63.0,Overcast,989.82,0,Winter,5.0,Mountain,Snowy,2
17.0,64,19.5,95.0,Overcast,1016.54,2,Spring,5.0,Coastal,Rainy,1
-13.0,60,9.5,18.0,Partly Cloudy,961.8412499999998,7,Winter,5.5,Coastal,Cloudy,0
34.0,88,19.5,73.0,Overcast,1018.01,1,Spring,4.0,Inland,Rainy,1
41.0,90,21.5,100.0,Overcast,1002.15,13,Winter,4.0,Coastal,Rainy,1
13.0,77,5.0,68.0,Cloudy,1021.09,3,Autumn,8.5,Inland,Cloudy,0
23.0,35,3.5,12.0,Clear,1028.43,7,Spring,8.0,Inland,Sunny,3
16.0,96,19.0,57.0,Overcast,1003.05,0,Spring,4.5,Inland,Rainy,1
-7.0,70,8.5,62.0,Overcast,993.19,1,Winter,2.0,Mountain,Snowy,2
3.0,90,9.5,87.0,Overcast,997.83,0,Winter,2.5,Mountain,Snowy,2
39.0,54,0.0,3.0,Clear,1024.65,8,Autumn,9.5,Inland,Sunny,3
21.0,64,19.0,96.0,Partly Cloudy,1006.43,0,Winter,4.5,Coastal,Rainy,1
38.0,69,6.5,19.0,Clear,1011.2,5,Spring,8.0,Coastal,Sunny,3
-6.0,81,19.5,66.0,Overcast,995.18,0,Winter,1.5,Inland,Snowy,2
10.0,80,16.5,99.0,Overcast,1005.34,3,Spring,3.5,Coastal,Rainy,1
23.0,73,14.5,32.0,Partly Cloudy,1002.91,4,Autumn,7.5,Mountain,Cloudy,0
38.0,21,0.0,14.0,Cloudy,961.8412499999998,2,Autumn,6.0,Mountain,Snowy,2
15.0,97,12.5,62.0,Overcast,1013.38,2,Winter,3.0,Coastal,Rainy,1
20.0,55,2.0,7.0,Clear,1029.67,9,Spring,9.0,Inland,Sunny,3
26.0,82,18.0,54.0,Partly Cloudy,998.36,1,Autumn,3.0,Coastal,Rainy,1
23.0,60,19.5,62.0,Partly Cloudy,1014.54,2,Winter,4.5,Coastal,Rainy,1
26.0,68,4.0,39.0,Partly Cloudy,1016.39,4,Summer,5.5,Mountain,Cloudy,0
10.0,99,16.0,58.0,Overcast,995.85,2,Autumn,1.5,Mountain,Rainy,1
20.0,42,4.0,13.0,Partly Cloudy,1028.3,5,Autumn,8.0,Mountain,Sunny,3
-2.0,32,1.5,17.0,Overcast,961.8412499999998,1,Winter,11.0,Coastal,Rainy,1
-1.0,94,13.0,74.0,Overcast,981.13,0,Winter,4.0,Inland,Snowy,2
28.0,65,13.5,48.0,Partly Cloudy,1013.19,4,Summer,5.5,Mountain,Cloudy,0
-10.0,94,7.5,98.0,Partly Cloudy,989.37,1,Winter,4.0,Mountain,Snowy,2
41.0,57,4.0,19.0,Clear,1025.59,10,Spring,6.5,Coastal,Sunny,3
34.0,78,14.5,13.0,Overcast,1014.07,1,Summer,6.0,Mountain,Cloudy,0
33.0,30,9.5,7.0,Partly Cloudy,1019.11,11,Spring,5.0,Coastal,Sunny,3
28.0,56,8.5,12.0,Partly Cloudy,1013.53,1,Winter,7.5,Coastal,Cloudy,0
49.0,64,4.0,61.0,Cloudy,1049.7312500000003,14,Winter,0.0,Coastal,Cloudy,0
28.0,77,4.5,68.0,Partly Cloudy,1049.7312500000003,14,Autumn,0.0,Coastal,Snowy,2
34.0,99,26.25,74.0,Partly Cloudy,1016.03,9,Autumn,1.0,Inland,Rainy,1
-7.0,97,4.5,73.0,Overcast,987.68,0,Winter,2.0,Mountain,Snowy,2
71.5,81,8.0,78.0,Overcast,1010.19,1,Autumn,4.5,Inland,Cloudy,0
25.0,24,9.5,91.0,Overcast,961.8412499999998,13,Winter,3.5,Inland,Snowy,2
31.0,100,15.0,90.0,Clear,1019.98,8,Summer,5.0,Coastal,Sunny,3
19.0,97,9.0,56.0,Overcast,1015.74,3,Spring,2.0,Mountain,Rainy,1
34.0,97,17.5,76.0,Overcast,1016.2,1,Summer,2.5,Coastal,Rainy,1
10.0,80,17.0,69.0,Overcast,1012.7,3,Summer,1.5,Coastal,Rainy,1
28.0,76,0.5,16.0,Partly Cloudy,1018.62,4,Summer,7.5,Inland,Cloudy,0
18.0,74,0.5,39.0,Overcast,1007.53,1,Autumn,8.5,Mountain,Cloudy,0
32.0,63,3.0,46.0,Partly Cloudy,1006.96,1,Summer,8.5,Inland,Cloudy,0
-7.0,82,7.5,57.0,Overcast,985.06,0,Winter,2.5,Mountain,Snowy,2
22.0,61,8.5,13.0,Partly Cloudy,1009.6,2,Spring,6.5,Inland,Cloudy,0
63.0,86,13.0,75.0,Clear,1027.31,14,Summer,2.5,Coastal,Sunny,3
23.0,78,15.0,60.0,Overcast,991.36,2,Autumn,4.0,Inland,Rainy,1
27.0,83,16.0,53.0,Overcast,1003.68,1,Summer,2.5,Coastal,Rainy,1
-9.0,67,13.0,92.0,Overcast,981.36,0,Winter,2.0,Mountain,Snowy,2
-10.0,92,17.0,96.0,Overcast,982.06,1,Winter,4.5,Mountain,Snowy,2
10.0,68,8.0,99.0,Overcast,1014.01,3,Spring,1.5,Coastal,Rainy,1
35.0,33,7.0,5.0,Partly Cloudy,1025.51,5,Winter,7.5,Coastal,Sunny,3
71.5,82,26.25,100.0,Overcast,1002.73,0,Winter,0.5,Mountain,Rainy,1
22.0,89,12.0,85.0,Partly Cloudy,1017.54,11,Winter,2.0,Coastal,Cloudy,0
2.0,86,11.5,64.0,Partly Cloudy,999.36,1,Winter,2.5,Mountain,Snowy,2
30.0,71,12.0,92.0,Partly Cloudy,992.51,2,Spring,3.0,Mountain,Rainy,1
30.0,55,5.0,31.0,Partly Cloudy,1004.15,2,Autumn,6.5,Mountain,Cloudy,0
14.0,68,11.5,11.0,Overcast,1012.85,2,Winter,6.5,Coastal,Cloudy,0
19.0,91,18.5,97.0,Overcast,1011.14,0,Autumn,4.0,Inland,Rainy,1
34.0,71,4.0,35.0,Overcast,1001.54,3,Summer,6.5,Coastal,Cloudy,0
27.0,79,14.0,29.0,Partly Cloudy,1008.79,1,Summer,7.5,Inland,Cloudy,0
8.0,78,26.25,100.0,Partly Cloudy,982.66,11,Winter,3.5,Inland,Snowy,2
-3.0,76,10.0,85.0,Overcast,986.77,0,Winter,3.5,Mountain,Snowy,2
29.0,100,0.5,93.0,Partly Cloudy,1002.18,8,Spring,10.0,Coastal,Cloudy,0
27.0,54,7.0,11.0,Partly Cloudy,1015.78,2,Summer,6.0,Coastal,Cloudy,0
22.0,95,26.25,87.0,Overcast,998.45,11,Winter,4.0,Coastal,Rainy,1
24.0,27,2.0,12.0,Partly Cloudy,1015.66,7,Spring,6.0,Inland,Sunny,3
33.0,69,8.0,5.0,Clear,1026.28,9,Autumn,9.5,Inland,Sunny,3
28.0,47,11.5,24.0,Partly Cloudy,1049.7312500000003,9,Autumn,1.5,Inland,Sunny,3
32.0,59,0.5,18.0,Partly Cloudy,1016.89,2,Spring,7.0,Inland,Cloudy,0
-10.0,72,2.5,96.0,Overcast,988.45,0,Winter,2.0,Mountain,Snowy,2
28.0,100,7.5,83.0,Partly Cloudy,1018.84,1,Summer,4.0,Inland,Sunny,3
27.0,26,9.0,14.0,Partly Cloudy,1018.24,5,Winter,7.0,Inland,Sunny,3
-9.0,71,9.5,83.0,Overcast,996.4,1,Winter,3.5,Inland,Snowy,2
28.0,86,9.5,52.0,Overcast,1005.41,3,Autumn,3.0,Coastal,Rainy,1
-4.0,64,1.0,85.0,Overcast,993.69,1,Winter,1.5,Inland,Snowy,2
25.0,51,5.0,18.0,Clear,1019.65,7,Autumn,7.0,Coastal,Sunny,3
12.0,92,20.0,51.0,Overcast,1010.65,3,Spring,2.0,Mountain,Rainy,1
-12.0,22,6.5,71.0,Partly Cloudy,1049.7312500000003,1,Spring,9.0,Coastal,Snowy,2
14.0,65,6.5,26.0,Partly Cloudy,1019.03,1,Autumn,6.5,Coastal,Cloudy,0
2.0,71,11.0,66.0,Overcast,984.83,0,Winter,3.0,Mountain,Snowy,2
43.0,24,7.0,1.0,Clear,1020.87,9,Summer,7.0,Inland,Sunny,3
-10.0,84,5.0,75.0,Overcast,990.82,0,Winter,4.5,Mountain,Snowy,2
1.0,52,13.5,18.0,Overcast,961.8412499999998,14,Spring,6.5,Coastal,Cloudy,0
25.0,86,11.0,75.0,Overcast,1006.57,0,Autumn,4.0,Coastal,Rainy,1
30.0,96,4.5,97.0,Partly Cloudy,1001.66,1,Summer,5.5,Mountain,Cloudy,0
44.0,94,9.0,100.0,Clear,1024.46,2,Spring,6.5,Coastal,Sunny,3
12.0,89,17.5,75.0,Overcast,997.65,2,Autumn,2.0,Inland,Rainy,1
20.0,48,3.0,10.0,Clear,1019.81,10,Autumn,9.5,Inland,Sunny,3
32.0,71,19.0,92.0,Overcast,1003.24,3,Summer,2.5,Mountain,Rainy,1
13.0,79,11.0,63.0,Overcast,990.71,2,Spring,4.5,Coastal,Rainy,1
-24.0,84,23.5,80.0,Overcast,984.68,0,Winter,1.5,Mountain,Snowy,2
22.0,46,5.0,1.0,Clear,1014.95,11,Summer,7.0,Mountain,Sunny,3
25.0,57,3.5,0.0,Partly Cloudy,1016.85,10,Summer,8.5,Inland,Sunny,3
-4.0,69,14.5,56.0,Overcast,994.53,1,Winter,3.0,Mountain,Snowy,2
-10.0,72,4.5,72.0,Overcast,1049.7312500000003,11,Summer,13.0,Mountain,Rainy,1
0.0,73,4.0,90.0,Partly Cloudy,993.09,1,Winter,3.0,Inland,Snowy,2
41.0,33,3.5,5.0,Partly Cloudy,1021.88,6,Spring,8.0,Coastal,Sunny,3
35.0,50,7.0,3.0,Clear,1011.22,7,Autumn,7.5,Coastal,Sunny,3
14.0,95,26.25,100.0,Partly Cloudy,997.34,6,Summer,4.0,Mountain,Rainy,1
23.0,63,5.0,2.0,Clear,1028.61,9,Winter,9.0,Coastal,Sunny,3
34.0,31,9.5,9.0,Clear,1024.74,10,Spring,5.5,Inland,Sunny,3
28.0,97,12.0,99.0,Partly Cloudy,1014.95,2,Winter,2.5,Inland,Rainy,1
33.0,63,8.5,93.0,Overcast,990.33,2,Summer,3.0,Coastal,Rainy,1
-2.0,52,13.5,88.0,Cloudy,961.8412499999998,2,Summer,1.5,Mountain,Sunny,3
12.0,88,9.5,76.0,Partly Cloudy,990.58,1,Spring,5.0,Mountain,Rainy,1
11.0,66,13.5,39.0,Partly Cloudy,1005.33,2,Summer,7.5,Coastal,Cloudy,0
19.0,72,11.0,25.0,Overcast,1009.68,4,Spring,7.5,Mountain,Cloudy,0
18.0,87,18.0,58.0,Overcast,1001.57,1,Summer,1.5,Inland,Rainy,1
15.0,98,6.0,84.0,Partly Cloudy,1014.45,2,Autumn,3.5,Coastal,Rainy,1
13.0,76,0.0,12.0,Partly Cloudy,1006.38,3,Spring,5.5,Inland,Cloudy,0
34.0,24,4.0,13.0,Clear,1020.55,11,Summer,8.0,Coastal,Sunny,3
-7.0,89,1.0,63.0,Overcast,993.79,1,Winter,4.0,Mountain,Snowy,2
-8.0,98,14.5,94.0,Overcast,989.03,0,Winter,4.0,Inland,Snowy,2
1.0,70,16.5,59.0,Overcast,990.8,1,Winter,1.5,Mountain,Snowy,2
21.0,72,19.0,57.0,Overcast,990.71,2,Winter,2.0,Coastal,Rainy,1
